Team,Week,opponent,spread,score,diff,Year,spreadscore,coverprob,predspread,order,coverprob_diff,predspread_diff
Minnesota Vikings,4,Carolina Panthers,-4.0,21.0,8.0,2023,4.0,0.533205,0.71742916,4.0,0.0923118889331817,1.6937532424926758
New England Patriots,4,Dallas Cowboys,6.5,3.0,-35.0,2023,-28.5,0.58548206,0.89597744,13.0,0.1067955195903778,1.9857370257377625
New Orleans Saints,4,Tampa Bay Buccaneers,-3.0,9.0,-17.0,2023,-20.0,0.38506144,2.201501,9.0,-0.2785050272941589,2.0005494952201843
New York Giants,4,Seattle Seahawks,-1.5,3.0,-21.0,2023,-22.5,0.6770292,1.2713765,15.0,0.1038593053817749,0.0747104883193969
New York Jets,4,Kansas City Chiefs,9.5,20.0,-3.0,2023,6.5,0.31800398,-1.5932555,14.0,-0.094611257314682,-3.5780924558639526
Philadelphia Eagles,4,Washington Commanders,-8.5,34.0,3.0,2023,-5.5,0.47611547,1.7801939,10.0,0.0283809900283813,2.268492817878723
Pittsburgh Steelers,4,Houston Texans,-3.0,6.0,-24.0,2023,-27.0,0.53504497,1.3741993,7.0,0.1060349345207214,-0.0145106315612792
San Francisco 49ers,4,Arizona Cardinals,-14.0,35.0,19.0,2023,5.0,0.48967895,1.8978556,12.0,0.0622406601905822,1.745077148079872
Seattle Seahawks,4,New York Giants,1.5,24.0,21.0,2023,22.5,0.5731699,1.196666,15.0,-0.1038593053817749,-0.0747104883193969
Tampa Bay Buccaneers,4,New Orleans Saints,3.0,26.0,17.0,2023,20.0,0.66356647,0.2009514,9.0,0.2785050272941589,-2.0005494952201843
Tennessee Titans,4,Cincinnati Bengals,2.5,27.0,24.0,2023,26.5,0.46881142,0.5162191,6.0,-0.0768713653087616,-1.1818246245384216
Washington Commanders,4,Philadelphia Eagles,8.5,31.0,-3.0,2023,5.5,0.44773448,-0.4882989,10.0,-0.0283809900283813,-2.268492817878723
Arizona Cardinals,5,Cincinnati Bengals,3.0,,,2023,,0.5861323475837708,1.9357651472091675,8.0,0.07490241527557373,5.216702342033386
Atlanta Falcons,5,Houston Texans,-2.0,,,2023,,0.5057927370071411,-0.17773760855197906,2.0,-0.024150311946868896,4.882254704833031
Baltimore Ravens,5,Pittsburgh Steelers,-4.0,,,2023,,0.492282509803772,0.33787813782691956,3.0,-0.04296135902404785,2.1641145050525665
Buffalo Bills,5,Jacksonville Jaguars,-5.5,,,2023,,0.46051472425460815,-3.4742515087127686,1.0,0.09285655617713928,-3.3380095064640045
Carolina Panthers,5,Detroit Lions,10.0,,,2023,,0.43773937225341797,-2.3927459716796875,4.0,-0.06936925649642944,4.1446099281311035
Chicago Bears,5,Washington Commanders,6.0,,,2023,,0.47973254323005676,4.0932536125183105,0.0,0.047405362129211426,2.390445113182068
